text,category
1000 аванс,Зарплата
КУПИЛА ПРИШЛА ЗАРПЛАТА,Зарплата
купила тренер,Спорт
купил подписка,Подписки
пицца сегодня,Рестораны
МАСКА ДЛЯ ЛИЦА СЕГОДНЯ,Косметика
2000 жкх,ЖКХ и аренда
коцнерт 990,Развлечения
связь за 500,Связь
250 поездка,Транспорт
оплата золотое яблоко,Косметика
помада 45,Косметика
купил жкх,ЖКХ и аренда
клуб за5 00,Развлечения
потратил на репетитор,Учёба
349 ПАБ,Развлечения
анализы,Здоровье
500 руабшка,Одежда
подработка выплата за 990,Подработка
купила премия,Зарплата
КУПИЛА АРЕНДА,ЖКХ и аренда
страховка для поездки 990,Путешествия
кпуила латте,Кофейни
преозд,Транспорт
КУПИЛА ПОДАРОК ДРУГУ,Подарки
зарплата сегодня,Зарплата
СНОВА МУСОРНЫЕ ПАКЕТЫ,Хозтовары
выставка сегодня,Развлечения
ПОЕЗДКА!,Транспорт
купил бургер,Рестораны
азрплата!,Зарплата
оплата билайн,Связь
кальян за 120,Развлечения
фикс прайс за 3000,Хозтовары
оплата интернет домой,ЖКХ и аренда
проект сегодня,Подработка
снова икеа,Хозтовары
купил букет,Подарки
тур за 1000,Путешествия
вкусно и точка 3000,Рестораны
теле2!,Связь
купила теннис,Спорт
подпсика вк за 1000,Подписки
снова подарок маме,Подарки
оплата кинопоиск,Подписки
нетфлиск!,Подписки
купила хостел,Путешествия
купил флэт уайт,Кофейни
купила презент,Подарки
духи,Косметика
потратил на шампунь,Косметика
1000 подработка,Подработка
снова клуб,Развлечения
ТАРИФ!,Связь
потратил на гастроном,Продукты
УЧЁБА!,Учёба
фортепиано!,Учёба
ПРЕМИЯ!,Зарплата
купила ртенер,Спорт
каршеирнг,Транспорт
подписка сегодня,Подписки
оплата вебинар,Учёба
оплата квест,Развлечения
пришла зарплата,Зарплата
халтура 250,Подработка
купил кинопоиск,Подписки
букет!,Подарки
какао сегодня,Кофейни
100 ЖКХ,ЖКХ и аренда
кфс за 1500,Рестораны
оклад,Зарплата
молоко за 250,Продукты
купил курс,Учёба
ЯНДЕКС МУЗЫКА 250,Подписки
протеин!,Спорт
потратил на штаны,Одежда
премия сегодня,Зарплата
пицца,Рестораны
снова гонорар,Подработка
снвоа паб,Развлечения
снова фриланс,Подработка
купил зарплата,Зарплата
купила цветы,Подарки
75 кура,Продукты
спортивные штаны з а45,Одежда
презент 2000,Подарки
лампочка сегодня,Хозтовары
купила виза,Путешествия
потратил на яндекс музыка,Подписки
оплата поел,Рестораны
лекция сегодня,Учёба
снова лампочка,Хозтовары
оплат алэтуаль,Косметика
купила рубашка,Одежда
2000 открытка,Подарки
открытка 990,Подарки
3000 врач,Здоровье
купила бизнес ланч,Рестораны
3000 гонорар,Подработка
каршеринг!,Транспорт
сыворотка!,Косметика
БИЛЕТЫ НА САМОЛЁТ 500,Путешествия
отель за 349,Путешествия
250 кино,Развлечения
потратил на квартплата,ЖКХ и аренда
туалетная бумага сегодня,Хозтовары
купила подарок маме,Подарки
снова пополнение телефона,Связь
массаж,Здоровье
переркёсток за 250,Продукты
потратил на спортзал,Спорт
45 учебник,Учёба
анлаизы сегодня,Здоровье
купил клуб,Развлечения
оклад за 75,Зарплата
снова счёт з асвет,ЖКХ и аренда
трансфер за 990,Путешествия
лреуа 45,Хозтовары
купила счёт за свет,ЖКХ и аренда
снова творог,Продукты
снова икеа,Хозтовары
АНАЛИЗЫ,Здоровье
ТРАМВАЙ 120,Транспорт
яндекс плюс сегодня,Подписки
оплата кофе с собой,Кофейни
купила косметика,Косметика
мтс,Связь
потратил на поездка в,Путешествия
купила шоколадница,Кофейни
кроссовки сегодня,Одежда
кофе!,Кофейни
штаны,Одежда
купил узи,Здоровье
лэтуаль 250,Косметика
теле2!,Связь
yota за 1000,Связь
купила пополнение телефона,Связь
фастфуд!,Рестораны
оплата буст,Подписки
ланч за 990,Рестораны
купила мазь,Здоровье
бельё 500,Одежда
купила спотифай,Подписки
лампочка,Хозтовары
тариф сегодня,Связь
музей за 1000,Развлечения
купил цветы,Подарки
учебник сегодня,Учёба
купил буст,Подписки
потратил на спортпит,Спорт
снова получка,Зарплата
купил страховка для поездки,Путешествия
подарок другу,Подарки
капучино!,Кофейни
мобильная связь 120,Связь
буст!,Подписки
купилд икси,Продукты
купил секция,Спорт
подарочная карта за 1500,Подарки
снова нсоки,Одежда
поел!,Рестораны
букинг,Путешествия
автобус,Транспорт
2000 бизнес ланч,Рестораны
секция!,Спорт
снова отопление,ЖКХ и аренда
поездка в!,Путешествия
оплата зп,Зарплата
губки,Хозтовары
купил связь,Связь
купила фортепиано,Учёба
роллы 100,Рестораны
коммуналка 990,ЖКХ и аренда
купила икеа,Хозтовары
полата виза,Путешествия
премия сегодня,Зарплата
купила рубашка,Одежда
окулист!,Здоровье
вода счёт,ЖКХ и аренда
потратил на кфс,Рестораны
2000 подписка вк,Подписки
куплиа додо,Рестораны
такси!,Транспорт
футболк асегодня,Одежда
купил премия,Зарплата
купил таетр,Развлечения
потартил на спортзал,Спорт
потратил на халтура,Подработка
потратил на йога,Спорт
купил роллы,Рестораны
яндекс плюс за 120,Подписки
1500 шаурма,Рестораны
купила белка,Транспорт
греча,Продукты
куратов сегодня,Кофейни
купи лкофе с собой,Кофейни
скуратов!,Кофейни
снова скуратов,Кофейни
проезд за 1500,Транспорт
подписка,Подписки
снова кофе на вынос,Кофейни
аттракционы 990,Развлечения
оеджда сегодня,Одежда
снова бензин,Транспорт
золотое яблоко,Косметика
купил подарки,Подарки
латте 500,Кофейни
купила подарок другу,Подарки
3000 связь,Связь
яйца!,Продукты
кафе,Рестораны
500 кофе на вынос,Кофейни
оплата лекция,Учёба
потратил на абонемент,Спорт
купила гонорар,Подработка
куртка сегодня,Одежда
349 НЕТФЛИКС,Подписки
фитнес за 45,Спорт
купила аванс,Зарплата
снова яндекс такси,Транспорт
КУПИЛА РЕПЕТИТОРСТВО ДОХОД,Подработка
сотовая связь сегодня,Связь
учебник!,Учёба
потратил на мтс,Связь
снова икеа,Хозтовары
поела!,Рестораны
жильё 100,Путешествия
купил тур,Путешествия
аванс за 1500,Зарплата
снова раф,Кофейни
потратил на лампочка,Хозтовары
100 симка,Связь
45 ПОЛУЧКА,Зарплата
снова открытка,Подарки
перекресток 990,Продукты
перекёрсток!,Продукты
жкх за 120,ЖКХ и аренда
купила бассейн,Спорт
КУПИЛ ЗАКАЗ,Подработка
оплата одежда,Одежда
сыворотка 2000,Косметика
порошок,Хозтовары
ОПЛАТА ХОЗТОВАРЫ,Хозтовары
КУПИЛА ЗАРА,Одежда
снова кура,Продукты
витамины 100,Здоровье
500 получка,Зарплата
потратил на кроссовки,Одежда
купил сотовая связь,Связь
парфюм за 1500,Косметика
купил связь,Связь
ФЛЭТ УАЙТ!,Кофейни
снова фикс прайс,Хозтовары
мобильная связь за 120,Связь
аванс за 500,Зарплата
СНОВА СЧЁТ ЗА СВЕТ,ЖКХ и аренда
дуих за 1500,Косметика
потратил на зарплата,Зарплата
поездка 1500,Транспорт
платье сегодня,Одежда
оплата ютуб премиум,Подписки
оплата каршеринг,Транспорт
потратил на примё врача,Здоровье
ОПЛАТА ХОЗТОВАРЫ,Хозтовары
потратил на букет,Подарки
снова поездка,Транспорт
снова зарплата,Зарплата
оплата мобильная связь,Связь
КУПИЛ БИЛЕТЫ НА САМОЛЁТ,Путешествия
связь за 120,Связь
фортепиано за 45,Учёба
оплата спотифай,Подписки
снова мегафон,Связь
скалодром сегодян,Спорт
аэрофлот!,Путешествия
потратилн а подработка,Подработка
продукты!,Продукты
ужин,Рестораны
100 0открытка,Подарки
БЕЛКА ЗА 3000,Транспорт
цветы сегодня,Подарки
оклад сегодня,Зарплата
2000 сотовая связь,Связь
КОНЦЕРТ СЕГОДНЯ,Развлечения
потратил на узи,Здоровье
лэтуаль за 2000,Косметика
потрати лна квартплата,ЖКХ и аренда
оплата бронь отеля,Путешествия
купил получка,Зарплата
100 фриланс,Подработка
кино,Развлечения
оплата оклад,Зарплата
салфетки 250,Хозтовары
шоколадница за 349,Кофейни
стоматолог 500,Здоровье
снова стоматолог,Здоровье
чемодан 0200,Путешествия
купила поездка в,Путешествия
букет сегодня,Подарки
бургер сегодня,Рестораны
2000 кинопоиск,Подписки
купил билеты на концерт,Развлечения
пополнение телефона 1000,Связь
снова проект,Подработка
купила бассейн,Спорт
потратил ная ндекс плюс,Подписки
снова трансфер,Путешествия
снова связь,Связь
потратил на букет,Подарки
хлеб за 3000,Продукты
75 вебинар,Учёба
салфетки за 2000,Хозтовары
косметика сегодня,Косметика
автобус 100,Транспорт
потратил на учеба,Учёба
яблоки 75,Продукты
СНОВА БОУЛИНГ,Развлечения
снова туалтеная бумага,Хозтовары
ПОТРАТИЛ НА ПАРФЮМ,Косметика
помада 250,Косметика
хлеб 1000,Продукты
выплата зарплаты,Зарплата
оплата уникло,Одежда
отопление за 3000,ЖКХ и аренда
ЗАРЛПАТА 75,Зарплата
подписка вк сегодня,Подписки
фриланс 1500,Подработка
икеа 250,Хозтовары
выплата зарплаты!,Зарплата
подписка на приложенеи,Подписки
подработка выплата за 45,Подработка
пицца 100,Рестораны
ФОРТЕПИАНО!,Учёба
СОТЛОВАЯ СЕГОДНЯ,Рестораны
лампочка за 1000,Хозтовары
фитнес за 250,Спорт
снова чемодан,Путешествия
оплата додо,Рестораны
выплата зарплаты за 120,Зарплата
купила меагфон,Связь
потратил на квартплата,ЖКХ и аренда
оплата зп,Зарплата
витамины сегодня,Здоровье
снов ааванс,Зарплата
купил пополнение телефона,Связь
оплата ркем,Косметика
потратил на аванс,Зарплата
купил репетитор,Учёба
потратил ан тренировка,Спорт
потратил на ресторан,Рестораны
ХОСТЕЛ ЗА 100,Путешествия
купил коктейль,Развлечения
ДЕЛИМОБИЛЬ СЕГОДНЯ,Транспорт
снова куртка,Одежда
мтс,Связь
потртаил на yota,Связь
икеа сегодня,Хозтовары
СНОВА ZARA,Одежда
бар!,Развлечения
снова зарплата,Зарплата
ПРОЕКТ,Подработка
электричка!,Транспорт
ФУТБОЛКА СЕГОДНЯ,Одежда
ЛЕКЦИЯ 3000,Учёба
45 уечба,Учёба
консультация сегодня,Подработка
аптека за 1500,Здоровье
пополнение телефона,Связь
куртка за 100,Одежда
шаурма за 3000,Рестораны
сотовая связь!,Связь
трансфер,Путешествия
снова тренировка,Спорт
оплата подарки,Подарки
узи за 2000,Здоровье
перекресток!,Продукты
купила связь,Связь
кроссовки 349,Одежда
купила хозтовары,Хозтовары
оплата связь,Связь
купил лампочка,Хозтовары
оплата салфетки,Хозтовары
столовая,Рестораны
оплата пришла зарплата,Зарплата
потратил на йога,Спорт
халтура,Подработка
снова подарок маме,Подарки
купила капучино,Кофейни
потратил на аттракционы,Развлечения
оплата иви,Подписки
купил обед,Рестораны
оплата онлайн курс,Учёба
купила пятерочка,Продукты
клиника сегодня,Здоровье
349 zara,Одежда
сновак офе на вынос,Кофейни
счёт за свет,ЖКХ и аренда
ПОТРАТИЛ НА ЛЭТУАЛЬ,Косметика
снова подработка,Подработка
учёба 120,Учёба
тур,Путешествия
футболка,Одежда
250 симка,Связь
снова дижнсы,Одежда
3000 оклад,Зарплата
бизнес ланч сегодня,Рестораны
подписка вк за 2000,Подписки
купила подработка,Подработка
оплата квартплата,ЖКХ и аренда
КУПИЛХ ОСТЕЛ,Путешествия
нетфликс!,Подписки
потратил на спотифай,Подписки
оплата узи,Здоровье
теннис,Спорт
какао сегодня,Кофейни
снова отркытка,Подарки
снова каршеринг,Транспорт
поедзка в,Путешествия
ПОТРАТИЛ НА НЕТФЛИКС,Подписки
потратил на массаж,Здоровье
СНОВА ПРИШЛА ЗАРПЛАТА,Зарплата
кроссовки 349,Одежда
открытка!,Подарки
трамвай сегодня,Транспорт
обувь!,Одежда
990 фитнес,Спорт
леруа!,Хозтовары
оплата бассейн,Спорт
купила авиабилеты,Путешествия
КУПИЛА ЗАНЯТИЕ ПО ВОЖДЕНИЮ,Учёба
потратил на кофе,Кофейни
счёт за свет сегодня,ЖКХ и аренда
рив гош сегодня,Косметика
цветы за 1000,Подарки
купила буст,Подписки
купил букинг,Путешествия
метро!,Транспорт
купила туалетная бумага,Хозтовары
рив гош,Косметика
снова медцентр,Здоровье
купила учебник,Учёба
мазь 100,Здоровье
бар сегодня,Развлечения
мазь!,Здоровье
белка!,Транспорт
зп за 75,Зарплата
купил перзент,Подарки
купила скуратов,Кофейни
349 лекция,Учёба
010 кино,Развлечения
ба рсегодня,Развлечения
купила букет,Подарки
снова ютуб премиум,Подписки
бытовая химия сегодня,Хозтовары
оплата врач,Здоровье
оплата зарплата,Зарплата
купила симка,Связь
клиника за 3000,Здоровье
потратил на штаны,Одежда
яндекс музыка,Подписки
ланч,Рестораны
потратил на букет,Подарки
потратил на яндекс музыка,Подписки
кальян!,Развлечения
вода счёт 100,ЖКХ и аренда
мобильная связь,Связь
бытовая химия аз 500,Хозтовары
снова кофе на вынос,Кофейни
потратил на премия,Зарплата
самокат 1500,Транспорт
подработка выплата сегодня,Подработка
теле2 3000,Связь
пятёрочка сегодня,Продукты
помада,Косметика
аванс сегодня,Зарплата
халтура 250,Подработка
караоке!,Развлечения
потратил на боулинг,Развлечения
оплата страховка для поездки,Путешествия
75 теннис,Спорт
лэтуаль 500,Косметика
990 билайн,Связь
подработка выплата сегодня,Подработка
кальян сегодня,Развлечения
консультация!,Подработка
снова вода,Продукты
ПОТРАТИЛ НА ГУБКИ,Хозтовары
500 средство для мытья,Хозтовары
эспрессо 250,Кофейни
120 ПРЕЗЕНТ,Подарки
2000 пицца,Рестораны
3000 аттракционы,Развлечения
таблетки,Здоровье
100 тариф,Связь
купил проект,Подработка
сэпрессо,Кофейни
чемодан за 100,Путешествия
маска для лица!,Косметика
учёба!,Учёба
купила сукратов,Кофейни
одеджа за 45,Одежда
купила халтура,Подработка
купила парфюм,Косметика
протеин за 120,Спорт
подарок ммае!,Подарки
аивабилеты,Путешествия
оплата одежда,Одежда
куратов за 120,Кофейни
подарок!,Подарки
электричество сегодня,ЖКХ и аренда
билеты на концерт!,Развлечения
купил поел,Рестораны
супермаркет,Продукты
пторатил на гонорар,Подработка
ютуб премиум сегодня,Подписки
рубашка,Одежда
секция,Спорт
маз!ь,Здоровье
врач!,Здоровье
оплата куратов,Кофейни
оптратил на мазь,Здоровье
теле2,Связь
подписка,Подписки
перекресток сегодня,Продукты
ОПЛАТА ДЕЛИМОБИЛЬ,Транспорт
выставка за 1500,Развлечения
стабракс,Кофейни
КУПИЛ ЛАТТЕ,Кофейни
оплата летуаль,Косметика
снова порошок,Хозтовары
зп!,Зарплата
МУЗЕЙ!,Развлечения
ШОКОЛАДНИЦА!,Кофейни
купил подписка вк,Подписки
снова одежда,Одежда
купила яндекс музыка,Подписки
БАССЕЙН!,Спорт
1000 аренд аквартиры,ЖКХ и аренда
купила бытовая химия,Хозтовары
скуратов за 75,Кофейни
потратил на губки,Хозтовары
купил тариф,Связь
яндекс музыка!,Подписки
120 выплата зарплаты,Зарплата
йога,Спорт
купил мобильная связь,Связь
фортепиано за 75,Учёба
снова кфота,Одежда
500 окулист,Здоровье
салфетки за 1000,Хозтовары
куратов 120,Кофейни
купил узи,Здоровье
500 парковка,Транспорт
потратил на пордаботка,Подработка
получка,Зарплата
подарок другу 250,Подарки
снова билайн,Связь
блиайн 120,Связь
оплата ркем,Косметика
оплата консультация,Подработка
выплата зарплаты сегодня,Зарплата
серб,Учёба
подарок 250,Подарки
снова зарплата,Зарплата
100 иви,Подписки
45 нядекс такси,Транспорт
купила дикси,Продукты
клиника!,Здоровье
ХОЗТОВАРЫ ЗА 75,Хозтовары
оплата вода,Продукты
100 коммуналка,ЖКХ и аренда
купила сотовая связь,Связь
ЗАНЯТИЕ ПО ВОЖДЕНИЮ!,Учёба
оплата таблетки,Здоровье
снова кофейня,Кофейни
75 теле2,Связь
оплата трансфер,Путешествия
старбакс,Кофейни
коммуналка,ЖКХ и аренда
флэт уайт 349,Кофейни
оплата каршреинг,Транспорт
купил квитанция,ЖКХ и аренда
2000 вкусвилл,Продукты
чемодан за 100,Путешествия
НСОВА ТУШЬ,Косметика
домофон!,ЖКХ и аренда
оплата секция,Спорт
снова открытка,Подарки
шампунь!,Косметика
купила подарок другу,Подарки
убер сегодня,Транспорт
пторатил на аренда квартиры,ЖКХ и аренда
потратил на тариф,Связь
симка за 250,Связь
купила овощи,Продукты
100 подписка вк,Подписки
анализы!,Здоровье
лэтуаль!,Косметика
оплата абонемент,Спорт
кофе с собой,Кофейни
купила маска для лица,Косметика
снова учёба,Учёба
1000 кофейня,Кофейни
рив гош 990,Косметика
хозтовары сегодня,Хозтовары
музей за 1000,Развлечения
ОПЛАТА ПОМАДА,Косметика
120 медцентр,Здоровье
купил столовая,Рестораны
снова врча,Здоровье
потратил на медцентр,Здоровье
снова йога,Спорт
врачс егодня,Здоровье
купил атуалетная бумага,Хозтовары
нсова платье,Одежда
снова рубашка,Одежда
театр сегодня,Развлечения
45 секция,Спорт
снова караоке,Развлечения
купила скалодром,Спорт
349 подписка на приложение,Подписки
купила спорптит,Спорт
ютуб премиум сегодня,Подписки
потратил на жильё,Путешествия
паб 3000,Развлечения
потратил на мобильная связь,Связь
потратил на репетиторство доход,Подработка
снова storage icloud,Подписки
рубашка!,Одежда
ужин!,Рестораны
100 караоке,Развлечения
потратил на yota,Связь
СНОВА КЛИНИКА,Здоровье
квитанция сегодня,ЖКХ и аренда
пришла зарплата 990,Зарплата
потратил на электричество,ЖКХ и аренда
салфетки,Хозтовары
потратил на тушь,Косметика
пторатил на yota,Связь
потратил на прзеент,Подарки
купила бассейн,Спорт
фриланс,Подработка
отопление сегодня,ЖКХ и аренда
кофе 3000,Кофейни
оплата книга,Учёба
аредна 45,ЖКХ и аренда
купила духи,Косметика
кпуила капучино,Кофейни
снова чемодан,Путешествия
оплата курс,Учёба
репеттиорство доход сегодня,Подработка
косметика за 349,Косметика
45 пополнение телефона,Связь
купила пицца,Рестораны
скуратов!,Кофейни
купил духи,Косметика
уникло за 3000,Одежда
купила зарплата,Зарплата
купила зарплата,Зарплата
оплата рив гош,Косметика
носки сегодня,Одежда
ике а349,Хозтовары
купила крем,Косметика
оплата тренировка,Спорт
1500 тренировка,Спорт
НОСКИ!,Одежда
потратил на репетиторство доход,Подработка
ПОТРАТИЛ НА ИВИ,Подписки
абонемент сегодня,Спорт
снова носки,Одежда
ФОРТЕПИАНО ЗА 120,Учёба
подписка!,Подписки
снова фастфуд,Рестораны
купил теле2,Связь
квитанция сегодня,ЖКХ и аренда
купил билеты на концерт,Развлечения
купил врач,Здоровье
выставка 1000,Развлечения
оплата шарики,Подарки
потратил на премия,Зарплата
снова чемодан,Путешествия
мтс!,Связь
белка,Транспорт
349 учебник,Учёба
оплата цветы,Подарки
магнит 3000,Продукты
подписка вк,Подписки
зарплата сегодня,Зарплата
духи!,Косметика
скеция 120,Спорт
пополнение телефона,Связь
оплата белка,Транспорт
вдоа счёт!,ЖКХ и аренда
купил вода счёт,ЖКХ и аренда
купил билеты на самолёт,Путешествия
рпеетитор!,Учёба
кпуила нетфликс,Подписки
фортепиано сегодня,Учёба
купил книга,Учёба
снов амассаж,Здоровье
сноав билайн,Связь
потратил на подарки,Подарки
СИМКА ЗА 1000,Связь
купила обед,Рестораны
купила трамвай,Транспорт
билайн сегодня,Связь
потратил на гонорар,Подработка
аренда квартиры 1500,ЖКХ и аренда
снова секция,Спорт
лекция,Учёба
оплата подарок маме,Подарки
оплата куртка,Одежда
зара за2 000,Одежда
купила сыворотка,Косметика
стакан кофе!,Кофейни
парфюм сегодня,Косметика
аренда!,ЖКХ и аренда
бизнес ланч,Рестораны
тушь 349,Косметика
3000 теле2,Связь
снова квитанция,ЖКХ и аренда
СНОВА ТУАЛЕТНАЯ БУМАГА,Хозтовары
теннис,Спорт
зара сегодня,Одежда
оплата перекрёсток,Продукты
подарок маме за 3000,Подарки
коммуналка сегодня,ЖКХ и аренда
потратил на подарок другу,Подарки
оплата нетфликс,Подписки
свитер 120,Одежда
спотифай сегодня,Подписки
латте 1500,Кофейни
оплата вебинар,Учёба
связь сегондя,Связь
коктейль!,Развлечения
снова страховка для поездки,Путешествия
купила кинопоиск,Подписки
нетфликс сегодня,Подписки
буст 45,Подписки
2000 фитнес,Спорт
оплата капли,Здоровье
выплата зарплаты,Зарплата
оплата курс,Учёба
пятёрочка!,Продукты
оплата аренда,ЖКХ и аренда
купила латте,Кофейни
окфе на вынос!,Кофейни
овощи за 75,Продукты
электричество 3000,ЖКХ и аренда
купила клиника,Здоровье
заказ сегодня,Подработка
потратил на презент,Подарки
990 спортзал,Спорт
снова получка,Зарплата
потратил на хозтовары,Хозтовары
мегафон за 3000,Связь
снова сотовая связь,Связь
купил выплата зарплаты,Зарплата
ЛЕНТА,Продукты
потратил на счёт за свет,ЖКХ и аренда
оплатас екция,Спорт
снова овощи,Продукты
купила подписка вк,Подписки
СНОВА УНИКЛО,Одежда
купила курс,Учёба
жильё,Путешествия
120 аренда,ЖКХ и аренда
990 заказ,Подработка
получка,Зарплата
фриланс за 100,Подработка
парковк а2000,Транспорт
рив гош 1000,Косметика
потратил на спотифай,Подписки
пришла зарплата 349,Зарплата
100 туалетная бумага,Хозтовары
мтс сегодня,Связь
оплата клуб,Развлечения
снова вок,Рестораны
средство для мытья!,Хозтовары
зп,Зарплата
спотифай!,Подписки
потратил на фриланс,Подработка
купил косметика,Косметика
тариф 45,Связь
купила zara,Одежда
снова получка,Зарплата
макдак 100,Рестораны
приём врача,Здоровье
ПОТРАТИЛ НА КОФЕ С СОБОЙ,Кофейни
купил хлеб,Продукты
подработка выплата,Подработка
купил делимобиль,Транспорт
штаны 1000,Одежда
снова подарок,Подарки
потратил на метро,Транспорт
губки,Хозтовары
яндекс музыка за 349,Подписки
снова вок,Рестораны
снова анализы,Здоровье
купил storage icloud,Подписки
купил аренда квартиры,ЖКХ и аренда
отопление,ЖКХ и аренда
купил лекарства,Здоровье
оплата делимобиль,Транспорт
купил косметика,Косметика
10 0макароны,Продукты
оплата куратов,Кофейни
аренда сегодня,ЖКХ и аренда
потратил на одежда,Одежда
потратил на счёт за свет,ЖКХ и аренда
магнит 100,Продукты
купила стоамтолог,Здоровье
открытка за 2000,Подарки
потратил на пдоработка,Подработка
перекресток за 3000,Продукты
репеттиор,Учёба
оплата ашан,Продукты
снова куратов,Кофейни
ПРИЁМ ВРАЧА ЗА 1000,Здоровье
снова счёт за свет,ЖКХ и аренда
1500 халтура,Подработка
купил кофе,Кофейни
носки!,Одежда
подработка выплата сегодня,Подработка
жильё,Путешествия
потратил ан кальян,Развлечения
купил коктейль,Развлечения
фортепиано 3000,Учёба
квитанция!,ЖКХ и аренда
снова премия,Зарплата
делимобиль 75,Транспорт
купила нетфликс,Подписки
купила страховка для поездки,Путешествия
купил врач,Здоровье
купи лбилайн,Связь
купил тренер,Спорт
250 секция,Спорт
потратил на летуаль,Косметика
снова врач,Здоровье
купил халтура,Подработка
яндекс такси сегодня,Транспорт
подарок маме за 120,Подарки
купил домофон,ЖКХ и аренда
анализы сегодня,Здоровье
снова кфс,Рестораны
снова боулинг,Развлечения
паб!,Развлечения
снова косметика,Косметика
гонорар!,Подработка
аванс за 250,Зарплата
купила пеола,Рестораны
ПОТРАТИЛ НА ПОДАРОК,Подарки
проект за 990,Подработка
стоматолог сегодня,Здоровье
сыр!,Продукты
делимобиль 1000,Транспорт
купила протеин,Спорт
тренировка!,Спорт
потратил на обувь,Одежда
БЕЛКА СЕГОДНЯ,Транспорт
автошкола за 1500,Учёба
75 подарочная карта,Подарки
проезд за 3000,Транспорт
квартплата!,ЖКХ и аренда
купила бананы,Продукты
зп за 2000,Зарплата
купил платье,Одежда
45 кура,Продукты
купил билеты на концерт,Развлечения
потратил на пополнение телефона,Связь
КУПИЛА ПЕРЕКРЁСТОК,Продукты
3000 метро,Транспорт
капли сегодня,Здоровье
хостел,Путешествия
оплата концерт,Развлечения
оплата паб,Развлечения
купил фикс прайс,Хозтовары
БКУИНГ 250,Путешествия
квест 500,Развлечения
АНГИЛЙСКИЙ 500,Учёба
овощи!,Продукты
отопление за 100,ЖКХ и аренда
потратил на проект,Подработка
шарики,Подарки
яндекс музыка!,Подписки
3000 суши,Рестораны
1000 вок,Рестораны
потратил на бизнес ланч,Рестораны
эспрессо 500,Кофейни
349 эспрессо,Кофейни
потратил на подписка на приложение,Подписки
потратил на таблетки,Здоровье
абонеметн 75,Спорт
СНОВА МАКАРОНЫ,Продукты
купила поездка в,Путешествия
оплаат серб,Учёба
потратил на латте,Кофейни
250 букет,Подарки
оплата бассейн,Спорт
штаны за 120,Одежда
фикс прайс,Хозтовары
потратил на халтура,Подработка
500 подарок,Подарки
оплата аренда,ЖКХ и аренда
ланч!,Рестораны
купил zara,Одежда
шампунь за 2000,Косметика
500 ланч,Рестораны
2000 помада,Косметика
оплата мтс,Связь
премия,Зарплата
такси за 1500,Транспорт
стакан кофе сегодня,Кофейни
флэт уайт сегодня,Кофейни
кофе на вынос,Кофейни
страховка для поездки,Путешествия
купил репетиторство доход,Подработка
купила убер,Транспорт
75 яндекс плюс,Подписки
потратил на билайн,Связь
англисйкий,Учёба
потратил на симка,Связь
снова книга,Учёба
авиабилеты,Путешествия
фастфуд!,Рестораны
СРЕДСТВО ДЛЯ МЫТЬЯ СЕГОДНЯ,Хозтовары
потратил на лэтуаль,Косметика
снова английский,Учёба
ФОРТЕПИАНО,Учёба
купил заказ,Подработка
учёба!,Учёба
связь за 2000,Связь
250 латте,Кофейни
яблоки 2000,Продукты
БАР,Развлечения
какао!,Кофейни
снова чуеба,Учёба
купила подарок,Подарки
лампочка сегодня,Хозтовары
купила лампочка,Хозтовары
снова вода счёт,ЖКХ и аренда
оплата презент,Подарки
купил квитаниця,ЖКХ и аренда
самокат,Транспорт
буст за 45,Подписки
обед!,Рестораны
снова страховка для поездки,Путешествия
снова мазь,Здоровье
снова окулист,Здоровье
снова овощи,Продукты
потратил на репетитор,Учёба
шоколадница9 90,Кофейни
ПОТРАТИЛ НА ТАБЛЕТКИ,Здоровье
додо,Рестораны
купил подарки,Подарки
1000 репетитор,Учёба
свзяь,Связь
оплата подработка,Подработка
оплата шампунь,Косметика
ФАСТФУД СЕГОДНЯ,Рестораны
купила тренер,Спорт
снова пришла зарплата,Зарплата
интернет домой за 75,ЖКХ и аренда
СИМКА СЕГОДНЯ,Связь
зара сегодня,Одежда
500 квест,Развлечения
перекресток сегодня,Продукты
фриланс сегодня,Подработка
купила реептиторство доход,Подработка
1000 подарочная карта,Подарки
2000 электричество,ЖКХ и аренда
купила дикси,Продукты
массаж 1000,Здоровье
симка,Связь
потратил на фитнес,Спорт
купил котфа,Одежда
премия сегодня,Зарплата
стоматолог за 3000,Здоровье
спотифай,Подписки
мобильная связь!,Связь
купил сыворотка,Косметика
75 фриланс,Подработка
снова ашан,Продукты
СТЕНДАП СЕГОДНЯ,Развлечения
олпата подарочная карта,Подарки
музей 1000,Развлечения
кино!,Развлечения
потратил на капучино,Кофейни
потратил на билеты на самолёт,Путешествия
снова бананы,Продукты
КУПИЛА ПРОДУКТЫ,Продукты
КУПИЛ КАПУЧИНО,Кофейни
подписка вк сегодня,Подписки
купил эспрессо,Кофейни
занятие!,Учёба
мангит!,Продукты
трансфер!,Путешествия
свитер,Одежда
потратил на тренировка,Спорт
купил связь,Связь
оплата лампочка,Хозтовары
кпуил анализы,Здоровье
купила чемодан,Путешествия
караоке сегодня,Развлечения
потратил на поела,Рестораны
купила скалодром,Спорт
купила губки,Хозтовары
оклад,Зарплата
купила крем,Косметика
storage icloud сегодня,Подписки
снова йога,Спорт
ПИЦЦА 250,Рестораны
оплата губки,Хозтовары
